sum_hhe,dnl,dnc,dh,bc,dlcp,diic,diicintra,diicflux,diicconnector,df,dawf,dpc,dpcintra,dpcflux,dpcconnector,dbc_pc,dbc_iic,pop,hh_number,hh_100,pop_15,pop_65,elderly,pop_den,lowincome,res_person,commercial,residential,greenery,industrial,enthropy,avg_price,avg_buildyear,building_32,x,y,cooling_degree,newtown,gu,gu_name,decline_level,decline_group1,decline_group2,dong_name
2960.3,0.873,-0.109,0.979,0.006,0.823,0.792,0.126,0.621,0.045,0.873,0.873,0.9,0.072,0.729,0.099,0.927,0.315,28304,11965,42.3,4373,3186,72.9,10886,1628,26,19.9,36.7,43.4,0,0.76,52474.2,30.0 ,30,126.671,37.5288,129.18,0,1,서구,10,1,1,가정1동
2739.3,4.255,-1.064,5.606,0.019,3.323,2.685,1.69,0.875,0.12,4.255,4.255,3.021,1.463,1.329,0.229,0.667,0.225,6637,3032,45.7,487,795,163.2,5145,226,25.4,16.1,26.9,57.1,0,0.7,13070.2,31.5 ,31.5,126.681,37.5287,129.18,0,1,서구,10,1,1,가정2동
2813.9,1.923,-0.962,2.162,0.015,1.741,1.631,0.381,1.162,0.089,1.923,1.923,2.115,0.222,1.479,0.415,1.561,0.311,9804,4360,44.5,773,1261,163.1,16903,489,25.2,0.1,64.2,35.7,0,0.47,16149,29.1 ,29.1,126.682,37.5181,155.01,0,1,서구,10,1,1,가정3동
4990.7,0.316,-0.316,0.389,0.009,0.311,0.345,0.025,0.265,0.055,0.316,0.316,0.478,0.014,0.288,0.176,0.814,0.399,12251,5953,48.6,1024,1922,187.7,2823,932,20.9,0,6.1,7.7,86.1,0.36,12195.5,33.8 ,33.8,126.662,37.4916,155.01,0,1,서구,90,2,3,가좌1동
521.8,1.98,-2.97,2.476,0.024,2.125,1.91,0.249,1.482,0.179,1.98,1.98,2.413,0.125,1.73,0.558,2.746,0.707,20441,7761,38,2309,2750,119.1,28001,523,27.4,0,63.5,36.5,0,0.47,25035.6,27.3 ,27.3,126.686,37.4947,155.01,0,1,서구,90,2,3,가좌2동
566.8,0.647,-3.56,1.023,0.027,1.47,0.898,0.073,0.501,0.324,0.647,0.647,0.876,0.051,0.545,0.28,1.626,1.123,16555,7744,46.8,1232,3032,246.1,8534,1113,23.5,0,24.1,21.8,54,0.73,13963,33.0 ,33,126.68,37.4879,155.01,0,1,서구,20,1,1,가좌3동
532.7,0.806,-1.613,1.045,0.01,0.684,0.566,0.256,0.294,0.016,0.806,0.806,0.71,0.193,0.421,0.097,0.7,0.121,10865,5002,46,1175,1633,139,5688,504,24.7,0,22.7,48.5,28.7,0.75,32133.5,34.1 ,34.1,126.688,37.486,155.01,0,1,서구,70,2,3,가좌4동
4399.1,0.897,0.224,1.015,0.014,0.85,0.83,0.117,0.662,0.05,0.897,0.897,1.014,0.074,0.749,0.191,1.226,0.342,22637,10809,47.7,2023,4006,198,24341,1361,24.8,4.8,81.8,13.4,0,0.42,21659.9,31.0 ,31,126.702,37.4598,155.11,0,2,남동구,40,1,2,간석1동
6992.6,1.527,-3.817,1.738,0.024,1.302,1.127,0.433,0.66,0.033,1.527,1.527,1.305,0.338,0.852,0.116,1.136,0.33,22266,9297,41.8,2722,3406,125.1,35343,1175,26.9,17.5,82.5,0,0,0.33,38467.7,30.8 ,30.8,126.711,37.4613,155.11,0,2,남동구,100,2,4,간석2동
740.2,0.719,0,0.857,0.017,0.705,0.785,0.055,0.61,0.12,0.719,0.719,1.21,0.024,0.671,0.515,2.324,0.739,28289,13075,46.2,2574,4609,179.1,17249,1769,21.2,9.7,35.1,41.2,14,0.89,25846.4,28.1 ,28.1,126.715,37.4695,155.11,0,2,남동구,20,1,1,간석3동
